"","PC1","PC2"
"Black Rock",1.12089670868871,-2.81428921163656
"South Solitary Island",2.24512862062808,-0.869694573115063
"South West Solitary Island",6.11232091431688,0.968085065319812
"Woolgoolga Reef",4.14953086461516,0.252748061624772
"North West Solitary Island",3.5916202026184,1.1333457303735
"North Rock",5.0784774548902,2.40278460372232
"North Solitary Island",0.658155296462006,-1.52774856124706
"Julian Rock False Trench",0.833005118934048,-1.53606354012554
"Julian Rock Nursery",0.833005118934048,-1.53606354012554
"Cook Island",-0.188840827582258,-2.02406523257134
"Flat Rock",-2.6004551652168,-1.78218580725234
"Hendersons",-2.49936264092158,-1.71292060093326
"Flinders",-2.38613876727569,1.09395826118648
"Gneering Shoal",-0.413641874647955,1.17553057110532
"Mudjimba",0.595405645760279,0.518597706423529
"Wolf Rock",-0.319278593630398,1.22026054727972
"Lady Elliot Island",-4.32507221013901,-0.699331071177171
"Lady Musgrave Island",-4.24990074956415,0.684402570129921
"Libbys Lair",-4.120808683771,2.52433682673549
"Tenements",-4.11404643309896,2.52831219428301
