Site,Comp.1,Comp.2
Black Rock,1.478884016,-2.838658498
South Solitary Islands,2.592785058,-0.551441955
South West Solitary Islands,6.568079308,1.929840958
Woolgoolga Reef,4.575197678,0.886342374
North West Solitary Islands,3.787863828,1.75968223
North Solitary Islands,0.84889108,-1.463548266
Julian Rock False Trench,1.098405849,-1.492707469
Julian Rock Nursery,1.098405849,-1.492707469
Cook Island,0.163335839,-2.198802159
Flat Rock,-2.414975236,-2.21533698
Flinders,-2.582591498,0.929640411
Inner Gneering Shoals,-0.503916613,1.291675624
Mudjimba,0.666357252,0.660141209
Wolf Rock,-0.20391251,1.309216548
Lady Elliot Island,-4.181729678,-1.264109773
Lady Musgrave,-4.294620998,0.23720631
Libbys Lair,-4.35132927,2.25435297
Tenements 1,-4.345129954,2.259213932
